"algorithmisation.antennas.id_cellule","algorithmisation.antennas.nom_cellule","algorithmisation.antennas.bsc_rnc","algorithmisation.antennas.bts_nodeb","algorithmisation.antennas.region","algorithmisation.antennas.departement","algorithmisation.antennas.arrondissement","algorithmisation.antennas.commune","algorithmisation.antennas.quartier","algorithmisation.antennas.zone","algorithmisation.antennas.x","algorithmisation.antennas.y","algorithmisation.antennas.plaque","algorithmisation.antennas.zone_drv","algorithmisation.antennas.longitude","algorithmisation.antennas.latitude","algorithmisation.antennas.azimut","algorithmisation.antennas.zone_dvri"
"608-01-00706-09405","ABECOUTA_1","KAOLACK02","ABECOUTA","KD","Medina Yoro Foula","Niaming","Dinguiraye_Kd","Abecouta_1","Rural","541896","1473042","huawei_sud_est","Sud","-14,613147","13,324391","80","Kolda"
"608-01-00706-09406","ABECOUTA_2","KAOLACK02","ABECOUTA","KD","Medina Yoro Foula","Niaming","Dinguiraye_Kd","Abecouta_2","Rural","541896","1473042","huawei_sud_est","Sud","-14,613147","13,324391","200","Kolda"
"608-01-00706-09407","ABECOUTA_3","KAOLACK02","ABECOUTA","KD","Medina Yoro Foula","Niaming","Dinguiraye_Kd","Abecouta_3","Rural","541896","1473042","huawei_sud_est","Sud","-14,613147","13,324391","350","Kolda"
"608-01-00720-09411","ABENE_1","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_1","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","80","Ziguinchor"
"608-01-00720-09412","ABENE_2","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_2","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","190","Ziguinchor"
"608-01-00720-09413","ABENE_3","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_3","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","350","Ziguinchor"
"608-01-00720-10062","ABENE_D-1","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_D-1","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,7208256","12,99472727","350","Ziguinchor"
"608-01-00720-10063","ABENE_D-2","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_D-2","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,7208256","12,99472727","80","Ziguinchor"
"608-01-00720-10064","ABENE_D-3","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_D-3","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,7208256","12,99472727","190","Ziguinchor"
"608-01-09022-41454","ABENE_h1","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_H1","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","80","Ziguinchor"
"608-01-09022-41455","ABENE_h2","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_H2","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","190","Ziguinchor"
"608-01-09022-41456","ABENE_h3","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_H3","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","350","Ziguinchor"
"608-01-09022-41457","ABENE_h4","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_H4","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","80","Ziguinchor"
"608-01-09022-41458","ABENE_h5","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_H5","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","190","Ziguinchor"
"608-01-09022-41459","ABENE_h6","KAOLACK05","ABENE","ZG","Bignona","Kataba I","Kafountine","Abene_H6","Rural","313362","1437183","huawei_sud_ouest","Sud","-16,720826","12,994727","350","Ziguinchor"
